Parameters:
K = 928
cycle = 18
D1 = 526102
D2 = 633155
alpha_rep1 = 0.01853472
alpha_rep2 = 0.01361968
log_likelihood_rep1 = 379.655303
log_likelihood_rep2 = 1017.662700
convergence_rep1 = 0
convergence_rep2 = 0

Species	N_rep1	r_rep1	N_rep2	r_rep2
349	3041.235348	0.00003660	1421.452881	0.00001710
350	7032.856745	0.00008463	1421.452883	0.00001710
351	21098.570238	0.00025390	17847.130637	0.00021476
352	3991.621395	0.00004804	1421.452881	0.00001710
353	6462.625117	0.00007777	12003.379897	0.00014444
354	1140.463254	0.00001372	1105.574462	0.00001330
355	570.231627	0.00000686	1263.513671	0.00001520
356	2661.080930	0.00003202	473.817625	0.00000570
357	2661.080929	0.00003202	5527.872320	0.00006652
358	3991.621396	0.00004804	473.817625	0.00000570
359	2851.158139	0.00003431	789.696046	0.00000950
360	7983.242792	0.00009607	789.696046	0.00000950
361	380.154419	0.00000457	1421.452881	0.00001710
362	3421.389767	0.00004117	4738.176275	0.00005701
363	7603.088373	0.00009150	3632.601810	0.00004371
364	4751.930233	0.00005718	13582.771989	0.00016344
365	1710.694883	0.00002059	2053.209718	0.00002471
366	950.386047	0.00001144	947.635254	0.00001140
367	11214.555351	0.00013496	3158.784182	0.00003801
368	12925.250236	0.00015554	10739.866224	0.00012923
369	2471.003720	0.00002974	1263.513672	0.00001520
370	4751.930232	0.00005718	4738.176274	0.00005701
371	2471.003721	0.00002974	11055.744642	0.00013303
372	3801.544186	0.00004575	1263.513672	0.00001520
373	10264.169304	0.00012352	7107.264412	0.00008552
374	3611.466976	0.00004346	1737.331300	0.00002091
375	3991.621395	0.00004804	473.817625	0.00000570
376	3801.544186	0.00004575	6791.385993	0.00008172
377	3231.312558	0.00003889	4738.176274	0.00005701
378	760.308835	0.00000915	789.696045	0.00000950
379	7222.933954	0.00008692	6001.689948	0.00007222
380	2280.926511	0.00002745	631.756836	0.00000760
381	9693.937676	0.00011666	10897.805433	0.00013113
382	7222.933954	0.00008692	11845.440688	0.00014254
383	3231.312558	0.00003889	631.756834	0.00000760
384	6652.702326	0.00008006	3632.601809	0.00004371
385	5512.239070	0.00006633	7107.264413	0.00008552
386	8173.320002	0.00009836	14056.589617	0.00016914
387	3041.235348	0.00003660	1737.331300	0.00002091
388	15206.176748	0.00018299	14688.346453	0.00017675
389	380.154419	0.00000457	1105.574462	0.00001330
390	1900.772092	0.00002287	947.635253	0.00001140
391	6082.470698	0.00007320	1263.513672	0.00001520
392	1140.463254	0.00001372	947.635253	0.00001140
393	1520.617673	0.00001830	789.696045	0.00000950
394	1140.463254	0.00001372	1421.452881	0.00001710
395	1520.617674	0.00001830	1263.513672	0.00001520
396	4942.007442	0.00005947	947.635254	0.00001140
397	950.386047	0.00001144	1737.331299	0.00002091
398	18437.489307	0.00022188	12793.075943	0.00015394
399	1900.772092	0.00002287	947.635253	0.00001140
400	950.386045	0.00001144	1421.452881	0.00001710
401	1900.772092	0.00002287	1263.513672	0.00001520
402	14445.867910	0.00017384	7423.142830	0.00008932
403	2280.926511	0.00002745	789.696044	0.00000950
404	2471.003720	0.00002974	2842.905764	0.00003421
405	8553.474420	0.00010293	9950.170177	0.00011973
406	2661.080929	0.00003202	315.878418	0.00000380
407	3421.389768	0.00004117	1105.574465	0.00001330
408	3421.389767	0.00004117	473.817627	0.00000570
409	4181.698604	0.00005032	7265.203621	0.00008742
410	3231.312558	0.00003889	4896.115483	0.00005892
411	10074.092095	0.00012123	17215.373800	0.00020715
412	2090.849301	0.00002516	473.817627	0.00000570
413	5322.161861	0.00006405	13582.771989	0.00016344
414	3611.466977	0.00004346	3000.844973	0.00003611
415	1140.463255	0.00001372	1105.574462	0.00001330
416	950.386046	0.00001144	2369.088138	0.00002851
417	380.154419	0.00000457	1421.452883	0.00001710
418	1140.463254	0.00001372	789.696044	0.00000950
419	1140.463254	0.00001372	1737.331299	0.00002091
420	1520.617673	0.00001830	1895.270509	0.00002281
421	14635.945119	0.00017613	8054.899667	0.00009693
422	5322.161861	0.00006405	5211.993901	0.00006272
423	17867.257679	0.00021502	15793.920918	0.00019005
424	9123.706048	0.00010980	10581.927015	0.00012733
425	5702.316279	0.00006862	2527.027345	0.00003041
426	2471.003720	0.00002974	631.756836	0.00000760
427	4942.007442	0.00005947	3000.844974	0.00003611
428	1900.772092	0.00002287	4580.237065	0.00005511
429	380.154419	0.00000457	1421.452882	0.00001710
430	4751.930233	0.00005718	631.756836	0.00000760
431	950.386048	0.00001144	947.635254	0.00001140
432	3041.235348	0.00003660	789.696045	0.00000950
433	4371.775813	0.00005261	3474.662601	0.00004181
434	2851.158139	0.00003431	1421.452881	0.00001710
435	2280.926512	0.00002745	1421.452884	0.00001710
436	1900.772092	0.00002287	631.756836	0.00000760
437	7983.242792	0.00009607	3316.723391	0.00003991
438	13685.559073	0.00016469	24480.577424	0.00029458
439	6272.547908	0.00007548	2527.027346	0.00003041
440	2090.849302	0.00002516	6001.689947	0.00007222
441	3041.235348	0.00003660	3948.480228	0.00004751
442	2661.080930	0.00003202	4264.358647	0.00005131
443	6842.779535	0.00008235	8528.717295	0.00010263
444	4371.775814	0.00005261	2527.027346	0.00003041
445	6272.547908	0.00007548	7423.142831	0.00008932
446	950.386046	0.00001144	789.696045	0.00000950
447	6272.547908	0.00007548	5527.872320	0.00006652
448	6272.547908	0.00007548	4896.115483	0.00005892
449	3041.235349	0.00003660	3316.723392	0.00003991
450	7413.011164	0.00008921	5369.933111	0.00006462
451	1330.540465	0.00001601	4738.176274	0.00005701
452	2280.926511	0.00002745	4580.237065	0.00005511
453	950.386047	0.00001144	4422.297856	0.00005321
454	950.386045	0.00001144	2369.088136	0.00002851
455	950.386046	0.00001144	1105.574465	0.00001330
456	2090.849303	0.00002516	3158.784183	0.00003801
457	16726.794422	0.00020129	12003.379897	0.00014444
458	950.386046	0.00001144	631.756834	0.00000760
459	2851.158139	0.00003431	1579.392090	0.00001900
460	4751.930233	0.00005718	473.817625	0.00000570
461	8743.551630	0.00010522	12003.379897	0.00014444
462	1520.617676	0.00001830	1421.452882	0.00001710
463	760.308836	0.00000915	2053.209718	0.00002471
464	3041.235348	0.00003660	2842.905764	0.00003421
465	2090.849303	0.00002516	6475.507575	0.00007792
466	4751.930232	0.00005718	3158.784182	0.00003801
467	3991.621395	0.00004804	7265.203621	0.00008742
468	3991.621395	0.00004804	7739.021249	0.00009312
469	4942.007442	0.00005947	9476.352550	0.00011403
470	4181.698604	0.00005032	789.696044	0.00000950
471	1330.540464	0.00001601	1263.513672	0.00001520
472	2661.080929	0.00003202	315.878416	0.00000380
473	1710.694882	0.00002059	1895.270509	0.00002281
474	6652.702326	0.00008006	11371.623060	0.00013684
475	2090.849302	0.00002516	3474.662600	0.00004181
476	3231.312558	0.00003889	1895.270509	0.00002281
477	2280.926510	0.00002745	789.696045	0.00000950
478	950.386046	0.00001144	1579.392090	0.00001900
479	3801.544186	0.00004575	4264.358646	0.00005131
480	7983.242792	0.00009607	4264.358646	0.00005131
481	760.308836	0.00000915	631.756836	0.00000760
482	1140.463254	0.00001372	947.635255	0.00001140
483	2090.849302	0.00002516	947.635254	0.00001140
484	3421.389767	0.00004117	6949.325203	0.00008362
485	6082.470698	0.00007320	16583.616964	0.00019955
486	1900.772092	0.00002287	1421.452883	0.00001710
487	1710.694883	0.00002059	13582.771989	0.00016344
488	760.308836	0.00000915	473.817625	0.00000570
489	3611.466976	0.00004346	3790.541019	0.00004561
490	3421.389767	0.00004117	631.756834	0.00000760
491	2280.926513	0.00002745	6791.385994	0.00008172
492	380.154419	0.00000457	2369.088136	0.00002851
493	2280.926510	0.00002745	5054.054692	0.00006082
494	1140.463255	0.00001372	789.696045	0.00000950
495	1330.540464	0.00001601	2684.966554	0.00003231
496	4181.698605	0.00005032	3474.662601	0.00004181
497	1900.772093	0.00002287	1421.452884	0.00001710
498	2661.080930	0.00003202	473.817625	0.00000570
499	3611.466976	0.00004346	473.817625	0.00000570
500	1330.540464	0.00001601	789.696044	0.00000950
501	2851.158139	0.00003431	2211.148926	0.00002661
502	4371.775813	0.00005261	2684.966554	0.00003231
503	6652.702326	0.00008006	8054.899667	0.00009693
504	570.231626	0.00000686	1421.452883	0.00001710
505	380.154419	0.00000457	1737.331299	0.00002091
506	950.386048	0.00001144	2211.148930	0.00002661
507	760.308838	0.00000915	947.635255	0.00001140
